"","environment","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha"
"1","ARBORG_2019","2","ARBORG","2019","FP2573","3",110,46,1,5.65,27.7767233828571
"2","ARBORG_2019","3","ARBORG","2019","FP2591","3",110,45,1,5.81,27.7043068087912
"3","ARBORG_2019","3","ARBORG","2019","FP2567","3",112,50.5,1,6.26,25.845080952967
"4","ARBORG_2019","3","ARBORG","2019","FP2595","3",114,46.5,1,6.05,25.0604615384615
"5","ARBORG_2019","3","ARBORG","2019","FP2573","3",106,52.5,1,5.6,25.0313102268132
"6","ARBORG_2019","1","ARBORG","2019","FP2591","3",113,44,1,6.04,24.9018291481319
"7","ARBORG_2019","1","ARBORG","2019","FP2567","3",111,50,1,6.47,24.1255616149451
"8","ARBORG_2019","1","ARBORG","2019","FP2573","3",116,44,1,5.72,24.0009511120879
"9","ARBORG_2019","1","ARBORG","2019","FP2593","3",110,43.5,1,6.15,23.7508017582418
"10","ARBORG_2019","3","ARBORG","2019","CDC Buryu","3",110,46.5,1,5.54,23.6550467674725
"11","ARBORG_2019","3","ARBORG","2019","FP2593","3",106,50.5,1,6.32,23.5896253230769
"12","ARBORG_2019","3","ARBORG","2019","FP2594","3",110,45,1,5.84,23.5841037714286
"13","ARBORG_2019","2","ARBORG","2019","FP2566","3",106,43,1,5.37,23.5141612668132
"14","ARBORG_2019","2","ARBORG","2019","Topaz","3",107,41,1,5.5,23.3472034918681
"15","ARBORG_2019","2","ARBORG","2019","FP2592","3",107,44,1,6.21,23.3244243087912
"16","ARBORG_2019","1","ARBORG","2019","CDC Rowland","3",116,48,1,6.34,23.2445455076923
"17","ARBORG_2019","2","ARBORG","2019","CDC Rowland","3",114,43,1,6.25,23.1262759068132
"18","ARBORG_2019","1","ARBORG","2019","FP2594","3",107,47,1,5.8,23.0838169872528
"19","ARBORG_2019","2","ARBORG","2019","CDC Buryu","3",106,43.5,1,5.46,22.9211928685714
"20","ARBORG_2019","1","ARBORG","2019","AAC Marvelous","3",112,47,1,5.41,22.888919883956
"21","ARBORG_2019","3","ARBORG","2019","FP2590","3",107,45.5,1,6.03,22.8430692659341
"22","ARBORG_2019","2","ARBORG","2019","FP2595","3",109,43.5,1,5.71,22.6879390171429
"23","ARBORG_2019","2","ARBORG","2019","FP2567","3",108,48,1,5.68,22.6833151015385
"24","ARBORG_2019","1","ARBORG","2019","FP2590","3",112,45,1,6.14,22.6672624351648
"25","ARBORG_2019","3","ARBORG","2019","CDC Dorado","3",109,51,1,5.55,22.5524685604396
"26","ARBORG_2019","2","ARBORG","2019","AAC Marvelous","3",106,47,1,5.61,22.5085857230769
"27","ARBORG_2019","2","ARBORG","2019","FP2591","3",109,45,1,5.68,22.4755525239561
"28","ARBORG_2019","1","ARBORG","2019","CDC Buryu","3",106,45,1,5.54,22.3543050549451
"29","ARBORG_2019","3","ARBORG","2019","AAC Prairie Sunshine","3",107,42.5,1,5.24,22.3108587718681
"30","ARBORG_2019","1","ARBORG","2019","FP2589","3",106,45.5,1,6.39,22.2404547428571
"31","ARBORG_2019","3","ARBORG","2019","FP2566","3",106,45.5,1,5.38,22.155807410989
"32","ARBORG_2019","2","ARBORG","2019","FP2593","3",107,43,1,6.56,22.1171647393407
"33","ARBORG_2019","3","ARBORG","2019","FP2589","3",110,46,1,6.48,22.1051112685714
"34","ARBORG_2019","3","ARBORG","2019","CDC Rowland","3",106,46.5,1,6.08,22.0598139498901
"35","ARBORG_2019","2","ARBORG","2019","FP2589","3",114,41.5,1,6.24,22.0276744123077
"36","ARBORG_2019","2","ARBORG","2019","CDC Glas","3",106,48,1,4.94,21.9450025384615
"37","ARBORG_2019","1","ARBORG","2019","CDC Dorado","3",109,42.5,1,6.09,21.5640872483516
"38","ARBORG_2019","1","ARBORG","2019","FP2592","3",109,44,1,6.04,21.4099066654945
"39","ARBORG_2019","2","ARBORG","2019","FP2594","3",107,43,1,5.72,21.3284452008791
"40","ARBORG_2019","3","ARBORG","2019","ND Hammond","3",107,49.5,1,4.75,20.7829891252747
"41","ARBORG_2019","1","ARBORG","2019","FP2595","3",106,43,1,5.37,20.7829515481319
"42","ARBORG_2019","2","ARBORG","2019","FP2590","3",108,36.5,1,5.95,20.7717615085714
"43","ARBORG_2019","3","ARBORG","2019","Topaz","3",106,45,1,5.3,20.7691467657143
"44","ARBORG_2019","2","ARBORG","2019","CDC Bethune","3",106,50,1,5.48,20.7531142127473
"45","ARBORG_2019","3","ARBORG","2019","CDC Glas","3",107,44,1,5,20.671028269011
"46","ARBORG_2019","3","ARBORG","2019","AAC Bright","3",110,46.5,1,5.58,20.571890130989
"47","ARBORG_2019","3","ARBORG","2019","CDC Bethune","3",106,47,1,5.46,20.5697277591209
"48","ARBORG_2019","2","ARBORG","2019","AAC Bright","3",107,46.5,1,5.42,20.4940225828571
"49","ARBORG_2019","2","ARBORG","2019","ND Hammond","3",106,44.5,1,4.97,19.8762266531868
"50","ARBORG_2019","1","ARBORG","2019","FP2566","3",106,41.5,1,5.54,19.8384633107692
