"","environment","name","year","location","zone","zoneone","yield"
"1","bh_2007","ac_morley","2007","bh",3,3,4.8
"2","bh_2007","superior","2007","bh",3,3,5
"3","bh_2007","ac_mackinnon","2007","bh",3,3,5.4
"4","bh_2007","ac_mountain","2007","bh",3,3,4.7
"5","bh_2007","maxine","2007","bh",3,3,4.1
"6","bh_2007","wisdom","2007","bh",3,3,4.5
"7","bh_2007","warwick","2007","bh",3,3,4.5
"8","bh_2007","warthog","2007","bh",3,3,4.8
"9","bh_2007","harvard","2007","bh",3,3,4.9
"10","bh_2007","carlisle","2007","bh",3,3,4.4
"11","bh_2007","vienna","2007","bh",3,3,5.3
"12","bh_2007","ft_wonder","2007","bh",3,3,5
"13","bh_2007","ac_sampson","2007","bh",3,3,4.8
"14","bh_2007","25r47","2007","bh",3,3,5.5
"15","bh_2007","ashley","2007","bh",3,3,5.2
"16","bh_2007","25w41","2007","bh",3,3,5.1
"17","bh_2007","tribute","2007","bh",3,3,4.9
"18","bh_2007","d8006w","2007","bh",3,3,4.3
"19","bh_2007","emmit","2007","bh",3,3,4.8
"20","bh_2007","e1007r","2007","bh",3,3,4.9
"21","bh_2007","r045","2007","bh",3,3,4.8
"22","bh_2007","huntley","2007","bh",3,3,4.6
"23","bh_2007","becher","2007","bh",3,3,3.9
"24","bh_2007","ava","2007","bh",3,3,4.9
"25","bh_2007","wentworth","2007","bh",3,3,4.3
"26","bh_2007","adv_dyno","2007","bh",3,3,5.5
"27","bh_2007","fthp_redeemer","2007","bh",3,3,3.9
"28","bh_2007","ph55","2007","bh",3,3,3.9
"29","bh_2007","e1009w","2007","bh",3,3,4.6
"30","bh_2007","25r56","2007","bh",3,3,5
"31","bh_2007","ninja","2007","bh",3,3,4.8
"32","bh_2007","branson","2007","bh",3,3,5.3
"33","bh_2007","otf013-081","2007","bh",3,3,4.6
"34","bh_2007","benefit","2007","bh",3,3,5
"35","bh_2007","stanford","2007","bh",3,3,4.8
"36","bh_2007","e0028w","2007","bh",3,3,4.7
"37","bh_2007","25r51","2007","bh",3,3,4.8
"38","bh_2008","ac_morley","2008","bh",3,3,3.76
"39","bh_2008","superior","2008","bh",3,3,3.72
"40","bh_2008","ac_mackinnon","2008","bh",3,3,3.56
"41","bh_2008","ac_mountain","2008","bh",3,3,3.6
"42","bh_2008","warthog","2008","bh",3,3,3.56
"43","bh_2008","harvard","2008","bh",3,3,3.67
"44","bh_2008","ft_wonder","2008","bh",3,3,3.06
"45","bh_2008","ac_sampson","2008","bh",3,3,3.97
"46","bh_2008","ashley","2008","bh",3,3,3.31
"47","bh_2008","d8006w","2008","bh",3,3,3.95
"48","bh_2008","emmit","2008","bh",3,3,4.38
"49","bh_2008","e1007r","2008","bh",3,3,4.54
"50","bh_2008","r045","2008","bh",3,3,3.88
"51","bh_2008","becher","2008","bh",3,3,3.84
"52","bh_2008","ava","2008","bh",3,3,3.6
"53","bh_2008","wentworth","2008","bh",3,3,3.71
"54","bh_2008","adv_dyno","2008","bh",3,3,3.77
"55","bh_2008","fthp_redeemer","2008","bh",3,3,3.3
"56","bh_2008","ph55","2008","bh",3,3,3.84
"57","bh_2008","e1009w","2008","bh",3,3,3.66
"58","bh_2008","ninja","2008","bh",3,3,3.59
"59","bh_2008","branson","2008","bh",3,3,4.52
"60","bh_2008","otf013-081","2008","bh",3,3,3.5
"61","bh_2008","benefit","2008","bh",3,3,3.62
"62","bh_2008","stanford","2008","bh",3,3,3.31
"63","bh_2008","e0028w","2008","bh",3,3,4.06
"64","bh_2008","hy_116-srw","2008","bh",3,3,3.75
"65","bh_2008","princeton","2008","bh",3,3,3.92
"66","bh_2008","brooklyn","2008","bh",3,3,4.19
"67","bh_2008","carnaval","2008","bh",3,3,3.98
"68","bh_2008","surge","2008","bh",3,3,4.09
"69","bh_2008","priesley","2008","bh",3,3,4.4
"70","bh_2009","ac_morley","2009","bh",3,3,6.05533
"71","bh_2009","superior","2009","bh",3,3,5.78133
"72","bh_2009","ac_mackinnon","2009","bh",3,3,7.82733
"73","bh_2009","warthog","2009","bh",3,3,7.001
"74","bh_2009","harvard","2009","bh",3,3,6.6
"75","bh_2009","ft_wonder","2009","bh",3,3,6.6505
"76","bh_2009","ac_sampson","2009","bh",3,3,6.3925
"77","bh_2009","d8006w","2009","bh",3,3,7.731
"78","bh_2009","emmit","2009","bh",3,3,8.64267
"79","bh_2009","e1007r","2009","bh",3,3,8.184
"80","bh_2009","r045","2009","bh",3,3,7.845
"81","bh_2009","becher","2009","bh",3,3,7.98333
"82","bh_2009","ava","2009","bh",3,3,7.5165
"83","bh_2009","wentworth","2009","bh",3,3,7.93
"84","bh_2009","ph55","2009","bh",3,3,8.0625
"85","bh_2009","e1009w","2009","bh",3,3,6.377
"86","bh_2009","ninja","2009","bh",3,3,6.45667
"87","bh_2009","branson","2009","bh",3,3,8.0665
"88","bh_2009","benefit","2009","bh",3,3,7.075
"89","bh_2009","stanford","2009","bh",3,3,8.1225
"90","bh_2009","e0028w","2009","bh",3,3,8.373
"91","bh_2009","hy_116-srw","2009","bh",3,3,8.346
"92","bh_2009","princeton","2009","bh",3,3,7.1235
"93","bh_2009","brooklyn","2009","bh",3,3,8.1925
"94","bh_2009","carnaval","2009","bh",3,3,6.486
"95","bh_2009","surge","2009","bh",3,3,7.222
"96","bh_2009","otf013-081","2009","bh",3,3,6.6825
"97","bh_2009","keldin","2009","bh",3,3,7.5685
"98","bh_2009","palmer","2009","bh",3,3,8.69933
"99","bh_2009","laurel","2009","bh",3,3,8.327
"100","bh_2009","wave","2009","bh",3,3,7.587
"101","bh_2010","ac_morley","2010","bh",3,3,6.34263
"102","bh_2010","superior","2010","bh",3,3,5.22375
"103","bh_2010","ac_sampson","2010","bh",3,3,6.01625
"104","bh_2010","d8006w","2010","bh",3,3,6.13025
"105","bh_2010","emmit","2010","bh",3,3,6.34062
"106","bh_2010","e1007r","2010","bh",3,3,6.42188
"107","bh_2010","r045","2010","bh",3,3,6.05863
"108","bh_2010","becher","2010","bh",3,3,6.83
"109","bh_2010","ava","2010","bh",3,3,6.20062
"110","bh_2010","wentworth","2010","bh",3,3,6.21413
"111","bh_2010","ph55","2010","bh",3,3,5.79375
"112","bh_2010","e1009w","2010","bh",3,3,6.57762
"113","bh_2010","ninja","2010","bh",3,3,6.22563
"114","bh_2010","branson","2010","bh",3,3,5.76625
"115","bh_2010","benefit","2010","bh",3,3,5.31875
"116","bh_2010","e0028w","2010","bh",3,3,5.54313
"117","bh_2010","hy_116-srw","2010","bh",3,3,5.75025
"118","bh_2010","princeton","2010","bh",3,3,6.80188
"119","bh_2010","brooklyn","2010","bh",3,3,5.98187
"120","bh_2010","carnaval","2010","bh",3,3,5.77875
"121","bh_2010","priesley","2010","bh",3,3,5.7575
"122","bh_2010","keldin","2010","bh",3,3,6.205
"123","bh_2010","palmer","2010","bh",3,3,5.40812
"124","bh_2010","laurel","2010","bh",3,3,6.03062
"125","bh_2010","hy_271-srw","2010","bh",3,3,6.48438
"126","bh_2010","oac_snow","2010","bh",3,3,5.3975
"127","bh_2010","oac_amber","2010","bh",3,3,3.6778
"128","bh_2010","cm614","2010","bh",3,3,6.10063
"129","bh_2012","ac_morley","2012","bh",3,3,6.89
"130","bh_2012","ac_sampson","2012","bh",3,3,7.4025
"131","bh_2012","emmit","2012","bh",3,3,6.9025
"132","bh_2012","r045","2012","bh",3,3,7.46
"133","bh_2012","ava","2012","bh",3,3,7.225
"134","bh_2012","wentworth","2012","bh",3,3,6.9825
"135","bh_2012","branson","2012","bh",3,3,8.625
"136","bh_2012","benefit","2012","bh",3,3,5.9075
"137","bh_2012","hy_116-srw","2012","bh",3,3,8.23
"138","bh_2012","princeton","2012","bh",3,3,7.2075
"139","bh_2012","brooklyn","2012","bh",3,3,7.285
"140","bh_2012","priesley","2012","bh",3,3,7.075
"141","bh_2012","keldin","2012","bh",3,3,6.455
"142","bh_2012","hy_271-srw","2012","bh",3,3,8.47
"143","bh_2012","cm614","2012","bh",3,3,8.3
"144","bh_2012","hy_300-hrw","2012","bh",3,3,7.535
"145","bh_2012","wb425","2012","bh",3,3,6.1475
"146","bh_2012","secord","2012","bh",3,3,7.9775
"147","bh_2012","gallus","2012","bh",3,3,6.8475
"148","bh_2012","oac_emmy","2012","bh",3,3,8.0525
"149","bh_2012","venture","2012","bh",3,3,7.5854
"150","bh_2012","hy_412-srw","2012","bh",3,3,7.54
"151","bh_2012","hy_301-hrw","2012","bh",3,3,7.945
"152","bh_2012","emperor","2012","bh",3,3,7.5675
"153","bh_2012","oac_flight","2012","bh",3,3,8.53
"154","bh_2015","ac_morley","2015","bh",3,3,4.64419
"155","bh_2015","ac_sampson","2015","bh",3,3,4.38647
"156","bh_2015","emmit","2015","bh",3,3,5.31698
"157","bh_2015","ava","2015","bh",3,3,5.70145
"158","bh_2015","branson","2015","bh",3,3,5.48891
"159","bh_2015","princeton","2015","bh",3,3,4.96969
"160","bh_2015","priesley","2015","bh",3,3,5.22757
"161","bh_2015","keldin","2015","bh",3,3,5.22319
"162","bh_2015","wave","2015","bh",3,3,5.35977
"163","bh_2015","cm614","2015","bh",3,3,5.82886
"164","bh_2015","wb425","2015","bh",3,3,5.88281
"165","bh_2015","secord","2015","bh",3,3,5.55204
"166","bh_2015","gallus","2015","bh",3,3,5.15973
"167","bh_2015","venture","2015","bh",3,3,5.25076
"168","bh_2015","hy_412-srw","2015","bh",3,3,5.98981
"169","bh_2015","hy_301-hrw","2015","bh",3,3,5.39511
"170","bh_2015","emperor","2015","bh",3,3,4.84068
"171","bh_2015","oac_flight","2015","bh",3,3,5.82997
"172","bh_2015","frontenac","2015","bh",3,3,5.51252
"173","bh_2015","marker","2015","bh",3,3,5.98668
"174","bh_2015","ugrc_ring","2015","bh",3,3,6.02633
"175","bh_2015","ugrc_c2-5","2015","bh",3,3,5.7136
"176","bh_2015","cruze","2015","bh",3,3,5.95641
"177","bh_2015","ds572srw","2015","bh",3,3,5.54059
"178","bt_2013","ac_morley","2013","bt",2,2,4.13289
"179","bt_2013","ac_mackinnon","2013","bt",2,2,4.11712
"180","bt_2013","ac_sampson","2013","bt",2,2,3.8694
"181","bt_2013","emmit","2013","bt",2,2,4.83709
"182","bt_2013","r045","2013","bt",2,2,4.76405
"183","bt_2013","ava","2013","bt",2,2,4.60207
"184","bt_2013","wentworth","2013","bt",2,2,4.36933
"185","bt_2013","ph55","2013","bt",2,2,4.49547
"186","bt_2013","branson","2013","bt",2,2,4.91518
"187","bt_2013","benefit","2013","bt",2,2,4.55436
"188","bt_2013","e0028w","2013","bt",2,2,3.76899
"189","bt_2013","hy_116-srw","2013","bt",2,2,3.98581
"190","bt_2013","25w43","2013","bt",2,2,3.88738
"191","bt_2013","princeton","2013","bt",2,2,4.53533
"192","bt_2013","brooklyn","2013","bt",2,2,4.741
"193","bt_2013","priesley","2013","bt",2,2,4.18014
"194","bt_2013","25r39","2013","bt",2,2,4.35474
"195","bt_2013","keldin","2013","bt",2,2,3.70025
"196","bt_2013","wave","2013","bt",2,2,4.63642
"197","bt_2013","oac_amber","2013","bt",2,2,2.95251
"198","bt_2013","cm614","2013","bt",2,2,4.43951
"199","bt_2013","hy_300-hrw","2013","bt",2,2,3.60256
"200","bt_2013","wb425","2013","bt",2,2,5.15217
"201","bt_2013","secord","2013","bt",2,2,4.13865
"202","bt_2013","gallus","2013","bt",2,2,4.24446
"203","bt_2013","venture","2013","bt",2,2,3.85028
"204","bt_2013","whitebear","2013","bt",2,2,3.22085
"205","bt_2013","25r34","2013","bt",2,2,5.07675
"206","bt_2013","25r40","2013","bt",2,2,4.78549
"207","bt_2013","hy_412-srw","2013","bt",2,2,4.64304
"208","bt_2013","hy_301-hrw","2013","bt",2,2,4.198
"209","bt_2013","emperor","2013","bt",2,2,5.07693
"210","bt_2013","oac_flight","2013","bt",2,2,4.5192
"211","bt_2013","marker","2013","bt",2,2,4.58874
"212","bt_2013","ugrc_ring","2013","bt",2,2,4.43767
"213","ea_2008","ac_morley","2008","ea",2,2,7.75
"214","ea_2008","superior","2008","ea",2,2,6.25
"215","ea_2008","ac_mackinnon","2008","ea",2,2,6.48
"216","ea_2008","ac_mountain","2008","ea",2,2,5.94
"217","ea_2008","maxine","2008","ea",2,2,6.56
"218","ea_2008","warthog","2008","ea",2,2,7.31
"219","ea_2008","harvard","2008","ea",2,2,5.92
"220","ea_2008","carlisle","2008","ea",2,2,6.48
"221","ea_2008","vienna","2008","ea",2,2,6.56
"222","ea_2008","ft_wonder","2008","ea",2,2,7.07
"223","ea_2008","ac_sampson","2008","ea",2,2,7.28
"224","ea_2008","25r47","2008","ea",2,2,6.58
"225","ea_2008","ashley","2008","ea",2,2,5.13
"226","ea_2008","25w41","2008","ea",2,2,5.59
"227","ea_2008","d8006w","2008","ea",2,2,6.17
"228","ea_2008","emmit","2008","ea",2,2,8.04
"229","ea_2008","e1007r","2008","ea",2,2,6.31
"230","ea_2008","r045","2008","ea",2,2,7.74
"231","ea_2008","huntley","2008","ea",2,2,7.25
"232","ea_2008","becher","2008","ea",2,2,6.34
"233","ea_2008","ava","2008","ea",2,2,6.59
"234","ea_2008","wentworth","2008","ea",2,2,7.75
"235","ea_2008","adv_dyno","2008","ea",2,2,5.87
"236","ea_2008","fthp_redeemer","2008","ea",2,2,6.87
"237","ea_2008","ph55","2008","ea",2,2,7.86
"238","ea_2008","e1009w","2008","ea",2,2,5.38
"239","ea_2008","25r56","2008","ea",2,2,6.5
"240","ea_2008","branson","2008","ea",2,2,8.09
"241","ea_2008","otf013-081","2008","ea",2,2,6.62
"242","ea_2008","stanford","2008","ea",2,2,6.8
"243","ea_2008","e0028w","2008","ea",2,2,6.93
"244","ea_2008","25r51","2008","ea",2,2,7.26
"245","ea_2008","hy_116-srw","2008","ea",2,2,8.46
"246","ea_2008","25w36","2008","ea",2,2,6.83
"247","ea_2008","25w43","2008","ea",2,2,6.6
"248","ea_2008","princeton","2008","ea",2,2,6.99
"249","ea_2008","brooklyn","2008","ea",2,2,7.76
"250","ea_2008","surge","2008","ea",2,2,7.54
"251","ea_2008","priesley","2008","ea",2,2,7.89
"252","ea_2009","ac_morley","2009","ea",2,2,6.07
"253","ea_2009","superior","2009","ea",2,2,5.32
"254","ea_2009","ac_mackinnon","2009","ea",2,2,5.28
